id,question,method,expected_route,actual_route,semantic_similarity,answer_ok,citation_count,citation_ok,reasoning_step_count,reasoning_chain_ok,reflection_count,route_ok,sub_question_count,trace_stage_count,error
EVAL008,休学期满后什么时候申请复学？,direct_rag,retrieve_local,retrieve_local,0.848956,True,5,True,2,True,0,True,0,1,
EVAL008,休学期满后什么时候申请复学？,agent_no_reflection,retrieve_local,retrieve_local,0.879481,True,5,True,0,False,0,True,1,6,
EVAL008,休学期满后什么时候申请复学？,full_agent,retrieve_local,retrieve_local,0.826164,True,5,True,0,False,1,True,1,7,
EVAL009,哪些情况会被退学处理？,direct_rag,retrieve_local,retrieve_local,0.897439,True,6,True,4,True,0,True,0,1,
EVAL009,哪些情况会被退学处理？,agent_no_reflection,retrieve_local,retrieve_local,0.950387,True,2,True,0,False,0,True,1,6,
EVAL009,哪些情况会被退学处理？,full_agent,retrieve_local,retrieve_local,0.950352,True,2,True,0,False,1,True,1,7,
EVAL023,文科生通识核心课怎么修？,direct_rag,retrieve_local,retrieve_local,0.797324,True,6,True,3,True,0,True,0,1,
EVAL023,文科生通识核心课怎么修？,agent_no_reflection,retrieve_local,retrieve_local,0.823807,True,3,True,3,True,0,True,1,6,
EVAL023,文科生通识核心课怎么修？,full_agent,retrieve_local,retrieve_local,0.884482,True,2,True,0,False,1,True,1,7,
EVAL024,理工医学生通识核心课怎么修？,direct_rag,retrieve_local,retrieve_local,0.854197,True,2,True,2,True,0,True,0,1,
EVAL024,理工医学生通识核心课怎么修？,agent_no_reflection,retrieve_local,retrieve_local,0.836099,True,2,True,2,True,0,True,1,6,
EVAL024,理工医学生通识核心课怎么修？,full_agent,retrieve_local,retrieve_local,0.821958,True,2,True,2,True,1,True,1,7,
EVAL032,毕业论文抽检主要看什么？,direct_rag,retrieve_local,retrieve_local,0.864701,True,2,True,2,True,0,True,0,1,
EVAL032,毕业论文抽检主要看什么？,agent_no_reflection,retrieve_local,retrieve_local,0.935934,True,1,True,0,False,0,True,1,6,
EVAL032,毕业论文抽检主要看什么？,full_agent,retrieve_local,retrieve_local,0.868763,True,1,True,0,False,1,True,1,7,
EVAL033,哪些情况会影响学士学位授予？,direct_rag,retrieve_local,retrieve_local,0.867339,True,5,True,4,True,0,True,0,1,
EVAL033,哪些情况会影响学士学位授予？,agent_no_reflection,retrieve_local,retrieve_local,0.877321,True,5,True,0,False,0,True,1,6,
EVAL033,哪些情况会影响学士学位授予？,full_agent,retrieve_local,retrieve_local,0.870796,True,7,True,0,False,1,True,1,7,
EVAL036,课程教学大纲一般包括哪些内容？,direct_rag,retrieve_local,retrieve_local,0.927949,True,2,True,3,True,0,True,0,1,
EVAL036,课程教学大纲一般包括哪些内容？,agent_no_reflection,retrieve_local,retrieve_local,0.973857,True,1,True,0,False,0,True,1,6,
EVAL036,课程教学大纲一般包括哪些内容？,full_agent,retrieve_local,retrieve_local,0.973857,True,1,True,0,False,1,True,1,7,
EVAL037,实验课有哪些基本纪律和安全要求？,direct_rag,retrieve_local,retrieve_local,0.890922,True,8,True,3,True,0,True,0,1,
EVAL037,实验课有哪些基本纪律和安全要求？,agent_no_reflection,retrieve_local,retrieve_local,0.902725,True,8,True,0,False,0,True,1,6,
EVAL037,实验课有哪些基本纪律和安全要求？,full_agent,retrieve_local,retrieve_local,0.902272,True,8,True,0,False,1,True,1,7,
EVAL039,文科实践创新行动方案强调什么培养路径？,direct_rag,retrieve_local,retrieve_local,0.840177,True,2,True,2,True,0,True,0,1,
EVAL039,文科实践创新行动方案强调什么培养路径？,agent_no_reflection,retrieve_local,retrieve_local,0.837999,True,1,True,0,False,0,True,1,6,
EVAL039,文科实践创新行动方案强调什么培养路径？,full_agent,retrieve_local,retrieve_local,0.840083,True,1,True,0,False,1,True,1,7,
EVAL049,如果我是本科生，休学期满后什么时候申请复学？,direct_rag,retrieve_local,retrieve_local,0.785178,True,3,True,1,True,0,True,0,1,
EVAL049,如果我是本科生，休学期满后什么时候申请复学？,agent_no_reflection,retrieve_local,retrieve_local,0.862238,True,5,True,0,False,0,True,1,6,
EVAL049,如果我是本科生，休学期满后什么时候申请复学？,full_agent,retrieve_local,retrieve_local,0.873641,True,5,True,0,False,1,True,1,7,
EVAL050,如果我是本科生，哪些情况会被退学处理？,direct_rag,retrieve_local,retrieve_local,0.891953,True,2,True,3,True,0,True,0,1,
EVAL050,如果我是本科生，哪些情况会被退学处理？,agent_no_reflection,retrieve_local,retrieve_local,0.913716,True,6,True,4,True,0,True,1,6,
EVAL050,如果我是本科生，哪些情况会被退学处理？,full_agent,retrieve_local,retrieve_local,0.890898,True,2,True,3,True,1,True,1,7,
EVAL066,如果我是本科生，文科生通识核心课怎么修？,direct_rag,retrieve_local,retrieve_local,0.794657,True,3,True,3,True,0,True,0,1,
EVAL066,如果我是本科生，文科生通识核心课怎么修？,agent_no_reflection,retrieve_local,retrieve_local,0.815489,True,3,True,3,True,0,True,1,6,
EVAL066,如果我是本科生，文科生通识核心课怎么修？,full_agent,retrieve_local,retrieve_local,0.804862,True,3,True,3,True,1,True,1,7,
EVAL067,如果我是本科生，理工医学生通识核心课怎么修？,direct_rag,retrieve_local,retrieve_local,0.778601,True,6,True,3,True,0,True,0,1,
EVAL067,如果我是本科生，理工医学生通识核心课怎么修？,agent_no_reflection,retrieve_local,retrieve_local,0.816579,True,4,True,4,True,0,True,1,6,
EVAL067,如果我是本科生，理工医学生通识核心课怎么修？,full_agent,retrieve_local,retrieve_local,0.82186,True,4,True,4,True,1,True,1,7,
EVAL078,如果我是本科生，毕业论文抽检主要看什么？,direct_rag,retrieve_local,retrieve_local,0.908727,True,1,True,2,True,0,True,0,1,
EVAL078,如果我是本科生，毕业论文抽检主要看什么？,agent_no_reflection,retrieve_local,retrieve_local,0.974961,True,1,True,0,False,0,True,1,6,
EVAL078,如果我是本科生，毕业论文抽检主要看什么？,full_agent,retrieve_local,retrieve_local,0.974961,True,1,True,0,False,1,True,1,7,
EVAL079,如果我是本科生，哪些情况会影响学士学位授予？,direct_rag,retrieve_local,retrieve_local,0.878869,True,5,True,4,True,0,True,0,1,
EVAL079,如果我是本科生，哪些情况会影响学士学位授予？,agent_no_reflection,retrieve_local,retrieve_local,0.81532,True,8,True,4,True,0,True,1,6,
EVAL079,如果我是本科生，哪些情况会影响学士学位授予？,full_agent,retrieve_local,retrieve_local,0.818006,True,8,True,4,True,1,True,1,7,
